1946,4,Emily Greene Balch,8,1,1867,USA,F
1946,4,John Raleigh Mott,25,5,1865,USA,M
1946,2,Percy Williams Bridgman,21,4,1882,USA,M
1947,3,Sir Robert Robinson,13,9,1886,United Kingdom,M
1947,1,André Paul Guillaume Gide,22,10,1869,France,M
1947,5,Bernardo Alberto Houssay,10,4,1887,Argentina,M
1947,5,Carl Ferdinand Cori,5,12,1896,Austria-Hungary,M
1947,5,Gerty Theresa Cori,15,08,1896,Austria-Hungary,F
1947,4,American Friends Service Committee ,,,1917,USA,O
1947,4,Friends Service Council ,,,1647,United Kingdom,O
1947,2,Sir Edward Victor Appleton,6,9,1892,United Kingdom,M
1948,3,Arne Wilhelm Kaurin Tiselius,10,8,1902,Sweden,M
1948,1,Thomas Stearns Eliot,26,9,1888,USA,M
1948,5,Paul Hermann Müller,12,1,1899,Switzerland,M
1948,2,Patrick Maynard Stuart Blackett,18,10,1897,United Kingdom,M
1949,3,William Francis Giauque,12,5,1895,Canada,M
1949,1,William Faulkner,25,9,1897,USA,M
1949,5,Antonio Caetano de Abreu Freire Egas Moniz,29,10,1874,Portugal,M
1949,5,Walter Rudolf Hess,17,3,1881,Switzerland,M
1949,4,Lord Boyd Orr of Brechin,23,9,1880,Scotland,M
1949,2,Hideki Yukawa,23,1,1907,Japan,M
1950,3,Kurt Alder,10,7,1902,Prussia,M
1950,3,Otto Paul Hermann Diels,23,1,1876,Germany,M
1950,1,Earl Russell,18,5,1872,United Kingdom,M
1950,5,Edward Calvin Kendall,8,3,1886,USA,M
1950,5,Philip Showalter Hench,28,2,1896,USA,M
1950,5,Tadeus Reichstein,20,7,1897,Poland,M
1950,4,Ralph Bunche,7,8,1904,USA,M
1950,2,Cecil Frank Powell,5,12,1903,United Kingdom,M
1951,3,Edwin Mattison McMillan,18,9,1907,USA,M
1951,3,Glenn Theodore Seaborg,19,4,1912,USA,M
1951,1,Pär Fabian Lagerkvist,23,5,1891,Sweden,M
1951,5,Max Theiler,30,1,1899,South Africa,M
1951,4,Léon Jouhaux,1,7,1879,France,M
1951,2,Ernest Thomas Sinton Walton,6,11,1903,Ireland,M
1951,2,Sir John Douglas Cockcroft,27,5,1897,United Kingdom,M
1952,3,Archer John Porter Martin,1,3,1910,United Kingdom,M
1952,3,Richard Laurence Millington Synge,28,11,1914,United Kingdom,M
1952,1,François Mauriac,11,11,1885,France,M
1952,5,Selman Abraham Waksman,22,7,1888,Russian Empire,F
1952,4,Albert Schweitzer,14,1,1875,Germany,M
1952,2,Edward Mills Purcell,30,8,1912,USA,M
1952,2,Felix Bloch,23,11,1905,Switzerland,M
1953,3,Hermann Staudinger,23,3,1881,Germany,M
1953,1,Sir Winston Leonard Spencer Churchill,30,10,1874,United Kingdom,M
1953,5,Fritz Albert Lipmann,12,6,1899,Germany,M
1953,5,Hans Adolf Krebs,25,8,1900,Germany,M
1953,4,George Catlett Marshall,31,12,1880,USA,M
1953,2,Frits Zernike,16,7,1888,the Netherlands,M
1954,3,Linus Carl Pauling,28,2,1901,USA,M
1954,1,Ernest Miller Hemingway,21,7,1899,USA,M
1954,5,Frederick Chapman Robbins,25,8,1916,USA,M
1954,5,John Franklin Enders,10,2,1897,USA,M
1954,5,Thomas Huckle Weller,15,6,1915,USA,M
1954,4,Office of the United Nations High Commissioner for Refugees ,,,1951,Switzerland,O
1954,2,Max Born,11,12,1882,Germany,M
1954,2,Walther Bothe,8,1,1891,Germany,M
1955,3,Vincent du Vigneaud,18,5,1901,USA,M
1955,1,Halldór Kiljan Laxness,23,4,1902,Iceland,M
1955,5,Axel Hugo Theodor Theorell,6,7,1903,Sweden,M
1955,2,Polykarp Kusch,26,1,1911,Germany,M
1955,2,Willis Eugene Lamb,12,7,1913,USA,M
1956,3,Nikolay Nikolaevich Semenov,3,4,1896,Russia,M
1956,3,Sir Cyril Norman Hinshelwood,19,5,1897,United Kingdom,M
1956,1,Juan Ramón Jiménez,24,12,1881,Venezuela,M
1956,5,André Frédéric Cournand,24,9,1895,France,M
1956,5,Dickinson W. Richards,30,11,1895,USA,M
1956,5,Werner Forssmann,29,8,1904,Germany,M
1956,2,John Bardeen,23,5,1908,USA,M
1956,2,Walter Houser Brattain,10,2,1902,China,M
1956,2,William Bradford Shockley,13,2,1910,United Kingdom,M
1957,3,Lord Todd,2,11,1907,Scotland,M
1957,1,Albert Camus,7,10,1913,Algeria,M
1957,5,Daniel Bovet,23,3,1907,Switzerland,M
1957,4,Lester Bowles Pearson,23,4,1897,Canada,M
1957,2,Chen Ning Yang,22,9,1922,China,M
1957,2,Tsung-Dao Lee,24,10,1926,China,M
1958,3,Frederick Sanger,13,8,1918,United Kingdom,M
1958,1,Boris Leonidovich Pasternak,10,2,1890,Russia,M
1958,5,Edward Lawrie Tatum,14,12,1909,USA,M
1958,5,George Wells Beadle,22,11,1903,USA,M
1958,5,Joshua Lederberg,23,5,1925,USA,M
1958,4,Georges Pire,10,2,1910,Belgium,M
1958,2,Igor Yevgenyevich Tamm,8,7,1895,Russia,M
1958,2,Ilya Mikhailovich Frank,23,10,1908,Russia,M
1958,2,Pavel Alekseyevich Cherenkov,28,7,1904,Russia,M
1959,3,Jaroslav Heyrovsky,20,12,1890,Hungarian Empire,M
1959,1,Salvatore Quasimodo,20,8,1901,Italy,M
1959,5,Arthur Kornberg,3,3,1918,USA,M
1959,5,Severo Ochoa,24,9,1905,Spain,M
1959,4,Philip J. Noel-Baker,1,10,1889,United Kingdom,M
1959,2,Emilio Gino Segrè,1,2,1905,Italy,M
1959,2,Owen Chamberlain,10,7,1920,United Kingdom,M
1960,3,Willard Frank Libby,17,12,1908,USA,M
1960,1,Saint-John Perse,31,5,1887,Guadeloupe Island,M
1960,5,Peter Brian Medawar,28,2,1915,Brazil,M
1960,5,Sir Frank Macfarlane Burnet,3,9,1899,Australia,M
1960,4,Albert John Lutuli,0,0,1898,Southern Rhodesia,M
1960,2,Donald Arthur Glaser,21,9,1926,USA,M
1961,3,Melvin Calvin,8,4,1911,USA,M
1961,1,Ivo Andric,10,11,1892,Bosnia,M
1961,5,Georg von Békésy,3,6,1899,Hungary,M
1961,4,Dag Hjalmar Agne Carl Hammarskjöld,29,7,1905,Sweden,M
1961,2,Robert Hofstadter,5,2,1915,USA,M
1961,2,Rudolf Ludwig Mössbauer,31,1,1929,Germany,M
1962,3,John Cowdery Kendrew,24,3,1917,United Kingdom,M
1962,3,Max Ferdinand Perutz,19,5,1914,Austria,M
1962,1,John Steinbeck,27,2,1902,USA,M
1962,5,Francis Harry Compton Crick,8,6,1916,United Kingdom,M
1962,5,James Dewey Watson,6,4,1928,USA,M
1962,5,Maurice Hugh Frederick Wilkins,15,12,1916,New Zealand,M
1962,4,Linus Carl Pauling,28,2,1901,USA,M
1962,2,Lev Davidovich Landau,22,1,1908,Russian Empire,M
1963,3,Giulio Natta,26,2,1903,Italy,M
1963,3,Karl Ziegler,26,10,1898,Germany,M
1963,1,Giorgos Seferis,13,3,1900,Ottoman Empire,M
1963,5,Alan Lloyd Hodgkin,5,2,1914,United Kingdom,M
1963,5,Andrew Fielding Huxley,22,10,1917,United Kingdom,M
1963,5,Sir John Carew Eccles,27,1,1903,Australia,M
